Date,avg_Temperature,min_Temperature,max_Temperature,avg_lower_bound,avg_upper_bound
2025-03-15,-8.560424723195565e+33,-6.048527861052629e+34,4.471029858465632e+34,-8.560424723195565e+33,-8.560424723195565e+33
2025-03-16,7.212283798815775e+33,-1.4778290732779278e+35,1.5159898868792895e+35,7.212283798815775e+33,7.212283798815775e+33
2025-03-17,-8.514152852546264e+34,-5.246053343984745e+35,3.13967007518599e+35,-8.514152852546264e+34,-8.514152852546264e+34
2025-03-18,9.587632046915342e+34,-1.0787878120774044e+36,1.3323122766925872e+36,9.587632046915342e+34,9.587632046915342e+34
2025-03-19,-8.153903604967784e+35,-4.522145073328222e+36,2.7305049051519854e+36,-8.153903604967784e+35,-8.153903604967784e+35
2025-03-20,1.064488936485365e+36,-9.21824328187275e+36,1.1355741729394192e+37,1.064488936485365e+36,1.064488936485365e+36
2025-03-21,-7.561831179762901e+36,-3.8761347634160823e+37,2.3100632270499345e+37,-7.561831179762901e+36,-7.561831179762901e+36
2025-03-22,1.0735139970221706e+37,-7.994438746253349e+37,9.87322437229082e+37,1.0735139970221706e+37,1.0735139970221706e+37
2025-03-23,-6.835045049651724e+37,-3.3709505642815984e+38,2.0303598665621954e+38,-6.835045049651724e+37,-6.835045049651724e+37
2025-03-24,1.0142025022363261e+38,-6.891792189115547e+38,8.50042081254224e+38,1.0142025022363261e+38,1.0142025022363261e+38
2025-03-25,-6.0304640568163224e+38,-2.8557077402465244e+39,1.730690133332066e+39,-6.0304640568163224e+38,-6.0304640568163224e+38
2025-03-26,9.132637568030263e+38,-5.90667494618463e+39,7.290647968243739e+39,9.132637568030263e+38,9.132637568030263e+38
2025-03-27,-5.2057613556727106e+39,-2.505347956699165e+40,1.5045727055830985e+40,-5.2057613556727106e+39,-5.2057613556727106e+39
2025-03-28,7.866650404026279e+39,-5.137231495274934e+40,6.341637156633528e+40,7.866650404026279e+39,7.866650404026279e+39
2025-03-29,-4.400385197856846e+40,-2.1411388505274308e+41,1.2954831259906463e+41,-4.400385197856846e+40,-4.400385197856846e+40
2025-03-30,6.513692711691663e+40,-4.3523379763525415e+41,5.363875470860436e+41,6.513692711691663e+40,6.513692711691663e+40
2025-03-31,-3.639295636630464e+41,-1.85651419922624e+42,1.1109820241182966e+42,-3.639295636630464e+41,-3.639295636630464e+41
2025-04-01,5.161325606293242e+41,-3.817982460039502e+42,4.7152713560169206e+42,5.161325606293242e+41,5.161325606293242e+41
2025-04-02,-2.946328750781678e+42,-1.600690071827088e+43,9.66452351074471e+42,-2.946328750781678e+42,-2.946328750781678e+42
2025-04-03,3.890136403928998e+42,-3.2631949335593506e+43,4.020005006219005e+43,3.890136403928998e+42,3.890136403928998e+42
2025-04-04,-2.327189750851898e+43,-1.3716118353737761e+44,8.173460044104431e+43,-2.327189750851898e+43,-2.327189750851898e+43
2025-04-05,2.7473068570051955e+43,-2.829132543055928e+44,3.4939864234977136e+44,2.7473068570051955e+43,2.7473068570051955e+43
2025-04-06,-1.7909204913548445e+44,-1.193115160162376e+45,7.185770966764321e+44,-1.7909204913548445e+44,-1.7909204913548445e+44
2025-04-07,1.7522237441856193e+44,-2.4394653079148657e+45,3.008943973796592e+45,1.7522237441856193e+44,1.7522237441856193e+44
2025-04-08,-1.334845459749717e+45,-1.010974073614381e+46,6.126748583758933e+45,-1.334845459749717e+45,-1.334845459749717e+45
2025-04-09,9.247107109175071e+44,-2.0901390185464468e+46,2.579814806465421e+46,9.247107109175071e+44,9.247107109175071e+44
2025-04-10,-9.563777488960378e+45,-8.86676948643931e+46,5.324453945854885e+46,-9.563777488960378e+45,-9.563777488960378e+45
2025-04-11,2.5395778247766177e+45,-1.8182719494622392e+47,2.244596322940038e+47,2.5395778247766177e+45,2.5395778247766177e+45
2025-04-12,-6.50111062475526e+46,-7.579474521792493e+47,4.585694384949904e+47,-6.50111062475526e+46,-6.50111062475526e+46
2025-04-13,-2.6198093058783254e+46,-1.540808160810047e+48,1.8949573140975125e+48,-2.6198093058783254e+46,-2.6198093058783254e+46
2025-04-14,-4.073092980019769e+47,-6.313015179636234e+48,3.9312360956978256e+48,-4.073092980019769e+47,-4.073092980019769e+47
2025-04-15,-6.4232042666414725e+47,-1.3512354487274017e+49,1.5512501253765403e+49,-6.4232042666414725e+47,-6.4232042666414725e+47
2025-04-16,-2.2165848064965877e+48,-5.120908108217299e+49,3.4207157748289775e+49,-2.2165848064965877e+48,-2.2165848064965877e+48
2025-04-17,-9.032482047186202e+48,-1.1551462981771116e+50,1.2291809778029716e+50,-9.032482047186202e+48,-9.032482047186202e+48
2025-04-18,-8.326070599980083e+48,-4.034519795496936e+50,2.89192553880784e+50,-8.326070599980083e+48,-8.326070599980083e+48
2025-04-19,-1.0624019166920227e+50,-1.0011930760410332e+51,9.380452061513274e+50,-1.0624019166920227e+50,-1.0624019166920227e+50
2025-04-20,1.4634613966640602e+49,-3.075457506649331e+51,2.5431547695130088e+51,1.4634613966640602e+49,1.4634613966640602e+49
